epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,662.627,0.82732,0.50219,0.89494,0.94796,0.92185,0.96467,0.78487,0.75532,0.46416,0.85922,0.000911,0.000911,0.000911
112,668.632,0.80048,0.49215,0.88844,0.9603,0.91633,0.96701,0.79441,0.73233,0.45355,0.85322,0.0009011,0.0009011,0.0009011
113,674.651,0.80896,0.48953,0.88974,0.95676,0.92629,0.96691,0.79483,0.7305,0.44939,0.85082,0.0008912,0.0008912,0.0008912
114,680.68,0.80839,0.49285,0.89017,0.96193,0.91683,0.96689,0.79166,0.73738,0.45495,0.85268,0.0008813,0.0008813,0.0008813
115,686.707,0.82955,0.50629,0.89249,0.95893,0.91786,0.96715,0.79229,0.74212,0.44907,0.85422,0.0008714,0.0008714,0.0008714
116,692.681,0.80202,0.49135,0.89147,0.97038,0.91453,0.96769,0.79255,0.73351,0.44829,0.85174,0.0008615,0.0008615,0.0008615
117,698.563,0.80161,0.49241,0.89036,0.95849,0.92105,0.96726,0.79393,0.73808,0.44363,0.85065,0.0008516,0.0008516,0.0008516
118,704.44,0.80924,0.49294,0.88695,0.95379,0.92177,0.96597,0.7946,0.73423,0.45237,0.85387,0.0008417,0.0008417,0.0008417
119,710.302,0.82193,0.50258,0.89396,0.95159,0.92225,0.96367,0.78788,0.73808,0.45767,0.85267,0.0008318,0.0008318,0.0008318
120,716.324,0.80871,0.49086,0.88805,0.9653,0.92225,0.96756,0.79233,0.73683,0.44961,0.85178,0.0008219,0.0008219,0.0008219
121,722.301,0.80088,0.48895,0.88828,0.96609,0.92065,0.96804,0.7895,0.74124,0.44845,0.85335,0.000812,0.000812,0.000812
122,728.275,0.79767,0.48741,0.89103,0.96209,0.93094,0.96946,0.79981,0.71405,0.43662,0.84819,0.0008021,0.0008021,0.0008021
123,734.14,0.80121,0.49292,0.89093,0.95986,0.92479,0.9697,0.79759,0.72099,0.4419,0.8488,0.0007922,0.0007922,0.0007922
124,740,0.79509,0.48539,0.88715,0.96048,0.93036,0.97152,0.80028,0.72425,0.43537,0.84888,0.0007823,0.0007823,0.0007823
125,745.882,0.81721,0.496,0.88981,0.96236,0.91627,0.96992,0.79408,0.7284,0.44595,0.84987,0.0007724,0.0007724,0.0007724
126,751.713,0.78988,0.48491,0.8865,0.95512,0.92624,0.96823,0.79873,0.71305,0.44083,0.84766,0.0007625,0.0007625,0.0007625
127,757.445,0.79032,0.48195,0.88403,0.96509,0.92145,0.97051,0.80256,0.70795,0.43559,0.84698,0.0007526,0.0007526,0.0007526
128,763.152,0.79485,0.48712,0.8878,0.95662,0.93381,0.96972,0.80434,0.70379,0.43006,0.84568,0.0007427,0.0007427,0.0007427
129,768.911,0.79126,0.48633,0.88376,0.96307,0.92531,0.97067,0.80681,0.7008,0.43491,0.84519,0.0007328,0.0007328,0.0007328
130,774.924,0.77104,0.47552,0.88222,0.95744,0.9374,0.97033,0.80781,0.70248,0.42623,0.8455,0.0007229,0.0007229,0.0007229
131,780.932,0.77104,0.47492,0.87852,0.96524,0.91904,0.97043,0.80256,0.70118,0.43293,0.84352,0.000713,0.000713,0.000713
132,786.905,0.78169,0.47968,0.88854,0.9673,0.91989,0.97013,0.80699,0.70527,0.42859,0.84543,0.0007031,0.0007031,0.0007031
133,792.844,0.77792,0.47672,0.88536,0.95941,0.92366,0.96863,0.80355,0.70587,0.43148,0.84464,0.0006932,0.0006932,0.0006932
134,798.864,0.76433,0.46948,0.88394,0.96404,0.92663,0.97192,0.81052,0.69269,0.42424,0.8449,0.0006833,0.0006833,0.0006833
135,804.899,0.77307,0.47227,0.88135,0.9637,0.93139,0.97068,0.81273,0.68902,0.42161,0.843,0.0006734,0.0006734,0.0006734
136,810.936,0.77837,0.47859,0.88582,0.95844,0.93341,0.97046,0.80545,0.70179,0.42665,0.84555,0.0006635,0.0006635,0.0006635
137,816.925,0.76608,0.46982,0.87806,0.96126,0.93262,0.97155,0.81122,0.68504,0.42106,0.84259,0.0006536,0.0006536,0.0006536
138,822.947,0.76567,0.47067,0.87942,0.96111,0.93461,0.97112,0.81207,0.68087,0.42061,0.84183,0.0006437,0.0006437,0.0006437
139,828.925,0.76178,0.46765,0.88014,0.96374,0.92863,0.97078,0.81001,0.68363,0.42245,0.84169,0.0006338,0.0006338,0.0006338
140,835.001,0.77107,0.47434,0.88248,0.96155,0.92723,0.97148,0.81412,0.68571,0.42122,0.84119,0.0006239,0.0006239,0.0006239
141,841.072,0.7746,0.47315,0.88001,0.96877,0.92753,0.971,0.80707,0.69123,0.42186,0.84254,0.000614,0.000614,0.000614
142,847.024,0.75501,0.46613,0.87863,0.96628,0.92943,0.97389,0.81457,0.68605,0.41931,0.84186,0.0006041,0.0006041,0.0006041
143,852.961,0.77447,0.47337,0.88174,0.96068,0.92556,0.97083,0.8074,0.69489,0.42426,0.84199,0.0005942,0.0005942,0.0005942
144,858.876,0.76788,0.47317,0.8842,0.95765,0.92878,0.97031,0.81304,0.67362,0.42087,0.83966,0.0005843,0.0005843,0.0005843
145,864.841,0.75823,0.46719,0.87869,0.9633,0.93154,0.9725,0.81646,0.67473,0.41643,0.8403,0.0005744,0.0005744,0.0005744
146,870.812,0.74203,0.46113,0.87995,0.96623,0.93022,0.97205,0.81413,0.67728,0.41719,0.83992,0.0005645,0.0005645,0.0005645
147,876.826,0.74226,0.45969,0.8758,0.96481,0.92823,0.97109,0.8169,0.66767,0.41374,0.83863,0.0005546,0.0005546,0.0005546
148,882.844,0.74413,0.46068,0.87576,0.96606,0.93077,0.97074,0.81732,0.67981,0.4184,0.84089,0.0005447,0.0005447,0.0005447
149,888.878,0.75432,0.46614,0.87795,0.96486,0.93381,0.97206,0.81577,0.67084,0.41503,0.83849,0.0005348,0.0005348,0.0005348
150,894.893,0.73676,0.45605,0.87181,0.96741,0.93497,0.97426,0.81913,0.66805,0.41233,0.83882,0.0005249,0.0005249,0.0005249
151,900.889,0.73798,0.45776,0.87689,0.97409,0.92921,0.97436,0.81959,0.66145,0.41012,0.83621,0.000515,0.000515,0.000515
152,906.932,0.74996,0.45941,0.87508,0.96736,0.92823,0.972,0.81853,0.66173,0.41395,0.83576,0.0005051,0.0005051,0.0005051
153,912.941,0.74842,0.46097,0.87784,0.96764,0.92993,0.97217,0.82066,0.66063,0.41136,0.83604,0.0004952,0.0004952,0.0004952
